"stop_id,stop_name,stop_lat,stop_lon,location_type"
"B1_178,جامعة الدول,30.0521298,31.2008902,"
"B1_179,شارع فلسطين,29.9786871,31.2805844,"
"B1_180,محور الشهيد,30.040062,31.2516426,"
"B1_181,الحى السابع,30.0469887,31.32699869999999,"
"B1_182,الحي الثامن,30.0595267,31.3581131,"
"B1_183,طريق الفيوم,29.6657163,30.9712166,"
"B1_184,مساكن بيتشو,29.97114659999999,31.3321297,"
"B1_185,عباس العقاد,30.0566673,31.3381326,"
"B1_186,شارع السراي,30.0317983,31.2293801,"
"B1_187,منشية الجمل,30.0944547,31.2711912,"
"B1_188,ميدان روكسي,30.092731,31.3154457,"
"B1_189,الدوتوستراد,30.0062674,31.2716667,"
"B1_190,باب الشعربة,30.0574494,31.2605244,"
"B1_191,شارع الكردي,30.0958158,31.2781158,"
"B1_192,ميدان الدقي,30.0342473,31.2102477,"
"B1_193,ميدان جهينة,29.972500,30.921800,"
"B1_194,شارع الجلاء,30.0580004,31.2422627,"
"B1_195,شارع الروضة,29.9925266,31.3147983,"
"B1_196,شبرا الخيمه,30.124800,31.248700,"
"B1_197,حي السفارات,30.0342422,31.3416804,"
"B1_198,قسم الحدائق,30.08595949999999,31.2826641,"
"B1_199,كوبري مسطرد,30.1303482,31.2899662,"
"B1_200,محور المشير,30.0214702,31.3737777,"
"B1_201,موقف السلام,30.0567634,31.261285,"
"B1_202,ميدان الجيش,30.0619755,31.2679422,"
"B1_203,شارع المنيل,30.0187845,31.2252229,"
"B1_204,ميدان سفنكس,30.0609138,31.2081193,"
"B1_205,ميدان لبنان,30.05266,31.2427806,"
"B1_206,حدائق زينهم,30.0231455,31.24976,"
"B1_207,شارع البوهي,30.1056677,31.284348,"
"B1_208,ميدان رمسيس,30.0621151,31.2469649,"
"B1_209,شارع الازهر,30.0462011,31.2622315,"
"B1_210,كلية البنات,30.0761142,31.3357986,"
"B1_211,مساكن زينهم,30.02338,31.2449815,"
"B1_212,شارع الوحدة,30.0753451,31.2937839,"
"B1_213,شارع النزهة,30.0659989,31.2686283,"
"B1_214,شارع النيل,30.0450837,31.2185478,"
"B1_215,وراق الحضر,30.1007219,31.220972,"
"B1_216,احمد عرابي,30.0995731,31.273435,"
"B1_217,شارع الزهة,30.0659989,31.2686283,"
"B1_218,يبرتي بدار,30.0519921,31.2584505,"
"B1_219,الكيت كانت,30.07263,31.2225094,"
"B1_220,سكة الويلي,30.0673193,31.2759313,"
"B1_221,كفر الشرفا,30.1437435,31.34415589999999,"
"B1_222,نادى السكة,30.0689857,31.2347997,"
"B1_223,شارع منصور,29.839702,31.3347975,"
"B1_224,ترعة الزمر,29.9913225,31.2046964,"
"B1_225,عزبة النخل,30.0447976,31.243881,"
"B1_226,شارع القبه,30.0970907,31.3108139,"
"B1_227,مساكن اسكو,30.1511511,31.277347,"
"B1_228,خضر التوني,30.0754814,31.3217023,"
"B1_229,سراي القبة,30.0941996,31.3021332,"
"B1_230,دوران شيرا,30.0725361,31.24976,"
"B1_231,دوران شبرا,30.0805991,31.2454222,"
"B1_232,فريد سميكة,30.1117572,31.3455976,"
"B1_233,مدرسة نوال,30.0728432,31.3777124,"
"B1_234,طريق النصر,30.0459265,31.2796537,"
"B1_235,شارع شيخون,30.0307982,31.252979,"
"B1_236,أرض اللواء,30.130373,31.1625862,"
"B1_237,هضبه الهرم,29.969500,31.111700,"
"B1_238,شارع الهرم,30.0155504,31.2152881,"
"B1_239,إبراهيم بك,30.0420881,31.2541041,"
"B1_240,نفق الجولف,30.0790839,31.3284285,"
"B1_241,ابو رجيلة,30.0979217,31.2835844,"
"B1_242,محمد نجيب,30.0453216,31.2441623,"
"B1_243,أحمد ماهر,30.0434136,31.2552292,"
"B1_244,أثر النبي,30.009016,31.2293087,"
"B1_245,أحمد عربي,30.0995731,31.273435,"
"B1_246,أبو وافيه,30.0915706,31.256479,"
"B1_247,كفر ظهرمس,30.0151729,31.18106079999999,"
"B1_248,باب اللوق,30.0416135,31.2394683,"
"B1_249,يوسف عباس,30.0669029,31.3194756,"
"B1_250,ذاكر حسين,30.0440862,31.3345855,"
"B1_251,ابو الريش,30.0283001,31.2363762,"
"B1_252,شارع فيصل,30.0021682,31.1694268,"
"B1_253,الهايكستب,30.1431445,31.4199035,"
"B1_254,دوران شبر,30.0805991,31.2454222,"
"B1_255,جامعة مصر,29.958400,30.925700,"
"B1_256,شارع شبرا,30.085551,31.2453488,"
"B1_257,صبحي حسين,30.0051614,31.3292997,"
"B1_258,صلاح سالم,30.0982269,31.2728316,"
"B1_259,كفر طهرمس,30.0151729,31.18106079999999,"
"B1_260,صفط اللبن,30.0280377,31.1942597,"
"B1_261,الاتحادية,30.05376889999999,31.2486851,"
"B1_262,مكرم عبيد,30.0619739,31.3449857,"
"B1_263,أبو الهول,30.090853,31.3240552,"
"B1_264,عبده باشا,30.064781,31.27475,"
"B1_265,شارع قدري,30.1286145,31.3147751,"
"B1_266,المنصورية,30.0507479,31.2692208,"
"B1_267,العمرانية,30.069443,31.2467273,"
"B1_268,فم الخليج,30.0229841,31.2313083,"
"B1_269,ام بيومي,30.1475617,31.2514998,"
"B1_270,المماليك,30.0434498,31.2710582,"
"B1_271,صقر قريش,30.0990686,31.2831,"
"B1_272,سعد سليم,30.1049695,31.253644,"
"B1_273,بالمظلات,30.1041743,31.2456414,"
"B1_274,المطريية,30.137000,31.314000,"
"B1_275,شنزو ابي,30.04094419999999,31.35899659999999,"
"B1_276,الاباجية,30.0218476,31.2647712,"
"B1_277,اول عباس,30.0973701,31.2537822,"
"B1_278,اول مكرم,30.0566104,31.3301076,"
"B1_279,البساتين,29.849000,31.304000,"
"B1_280,الكابلات,30.1139145,31.2956279,"
"B1_281,الأسمرات,29.9972388,31.33326199999999,"
"B1_282,تروبيومف,30.086400,31.339600,"
"B1_283,أبو زعبل,30.0606124,31.2567125,"
"B1_284,البراجيل,30.0703779,31.1828471,"
"B1_285,القطامية,29.978617,31.4095335,"
"B1_286,ميت عقبة,30.0608328,31.1953764,"
"B1_287,التعاون,30.0610911,31.2431195,"
"B1_288,الخانكة,30.1338497,31.3570222,"
"B1_289,العجوزة,30.0511223,31.2125529,"
"B1_290,المعادي,29.9601561,31.2569138,"
"B1_291,العاسية,30.0650075,31.2714452,"
"B1_292,المظلات,30.1041743,31.2456414,"
"B1_293,المؤسسة,30.0251895,31.2517838,"
"B1_294,المحكمة,30.0609503,31.2302662,"
"B1_295,شارع 27,29.99521,31.41254,"
"B1_296,الكوربة,30.0889481,31.3022893,"
"B1_297,الزلزال,30.02621359999999,31.2387824,"
"B1_298,الزمالك,30.0609422,31.219709,"
"B1_299,الموسكي,30.0501606,31.25111589999999,"
"B1_300,كيت كات,30.0696088,31.2791551,"
"B1_301,التجنيد,30.1075079,31.3247855,"
"B1_302,الغنجري,30.136000,31.359000,"
"B1_303,الدائري,30.0911375,31.1970426,"
"B1_304,المطبعة,30.097000,31.258000,"
"B1_305,الكنيسة,30.0874288,31.2805891,"
"B1_306,اخناتون,30.0399902,31.2427835,"
"B1_307,الدراسة,30.0484558,31.2717177,"
"B1_308,البعوث,30.0561745,31.2764596,"
"B1_309,الزمال,30.0609422,31.219709,"
"B1_310,امبابه,30.075000,31.221600,"
"B1_311,الظاهر,30.0654182,31.2669285,"
"B1_312,الرحاب,30.064626,31.4881751,"
"B1_313,كورنيش,30.0438562,31.2314087,"
"B1_314,شارع 9,30.0125735,31.29145,"
"B1_315,المقطم,30.0008001,31.3198491,"
"B1_316,الجراج,30.0884112,31.2714994,"
"B1_317,السواج,30.1064959,31.2529706,"
"B1_318,المنهل,30.0662844,31.2780684,"
"B1_319,العاشر,30.0956792,31.2654979,"
"B1_320,بشتيبل,30.065500,31.188700,"
"B1_321,المسلة,30.1312976,31.3092958,"
"B1_322,القلعة,30.0266075,31.2599679,"
"B1_323,اربيلا,29.9871188,31.4356185,"
"B1_324,الخصوص,30.0467948,31.237607,"
"B1_325,روكسب,30.0934035,31.3157292,"
"B1_326,بشتيل,30.065500,31.188700,"
"B1_327,خلوصي,30.0792274,31.2479278,"
"B1_328,حلوان,29.841500,31.310000,"
"B1_329,التبة,30.052346,31.246803,"
"B1_330,تحرير,30.0445393,31.2352658,"
"B1_331,المرج,30.150500,31.340000,"
"B1_332,بيجام,30.1326529,31.2466202,"
"B1_333,قليوب,30.1781957,31.2065244,"
"B1_334,عتبة,30.052375,31.245262,"
"B1_335,روكس,30.0242756,31.2169095,"
"B1_336,سفير,30.067575,31.222135,"
"B1_337,زنين,30.03598209999999,31.18106079999999,"
"M_0,Maadi,29.9598395,31.2580736,0"
"M_1,Omm El Misryeen,30.0052084,31.2079638,0"
"M_2,Behooth,30.0357796,31.2003443,0"
"M_3,Dokki,30.0382224,31.2120446,0"
"M_4,Opera,30.0419584,31.2250592,0"
"M_5,Sadat,30.0439485,31.2353785,0"
"M_6,Massara,30.0710937,31.2450193,0"
"M_7,Rawd El-Farag,30.0805647,31.245351,0"
"M_8,Sainte Teresa,30.0883026,31.2454098,0"
"M_9,Al-Mezallat,30.1040913,31.2461248,0"
"M_10,Helwan,29.8488841,31.3342033,0"
"M_11,Helwan University,29.8690253,31.320377,0"
"M_12,Tora El-Asmant,29.9258484,31.2876941,0"
"M_13,Kozzika,29.9361647,31.2817387,0"
"M_14,Thakanat El-Maadi,29.9528426,31.2634668,0"
"M_15,Helmeyet Al-Zaitoun,30.1143455,31.3139,0"
"M_16,Mohamed Naguib,30.0453923,31.244276,0"
"M_17,Maadi Gardens,29.9701006,31.2506712,0"
"M_18,Al-Khalafawy,30.0977898,31.2454368,0"
"M_19,Koleyet El Banat subway station,30.0843667,31.3292503,0"
"M_20,Dar Al-Salam,29.98203,31.2422043,0"
"M_21,Al-Zahraa,29.9952525,31.2315251,0"
"M_22,Shuhada,30.061851,31.2460174,0"
"M_23,Cairo fair,30.073329,31.3011479,0"
"M_24,Abbassia,30.0727858,31.2840893,0"
"M_25,Abdou Pasha,30.0653633,31.2764414,0"
"M_26,Bab el Shaaria,30.0551319,31.2576045,0"
"M_27,Al Ahram,30.0913176,31.3264965,0"
"M_28,Attaba,30.0524299,31.246899,0"
"M_29,Stadium,30.072948,31.3173959,0"
"M_30,Mar Girgis,30.0058496,31.2295229,0"
"M_31,Hadayeq Helwan,29.8971871,31.3040668,0"
"M_32,Wadi Hof,29.8794379,31.3134042,0"
"M_33,Ain Helwan,29.8626591,31.3250068,0"
"M_34,Al-Maasara,29.9061043,31.2997264,0"
"M_35,Al Marj,30.1520818,31.3357665,0"
"M_36,Ezbet en Nakhl,30.1392826,31.3244931,0"
"M_37,Ain Shams,30.1310378,31.3190751,0"
"M_38,El-Matareyya,30.1213801,31.3139749,0"
"M_39,Hadayeq Al-Zaitoun,30.1051989,31.3099368,0"
"M_40,Saray Al-Qobba,30.0980698,31.3047494,0"
"M_41,Hammamat Al-Qobba,30.0903392,31.2981109,0"
"M_42,Kobri Al-Qobba,30.0869694,31.2938181,0"
"M_43,Manshiet Al-Sadr,30.0822064,31.2878414,0"
"M_44,Al-Demerdash,30.0772574,31.2778133,0"
"M_45,Ghamra,30.068964,31.2646738,0"
"M_46,Nasser,30.0535567,31.2388016,0"
"M_47,Saad Zaghloul,30.036568,31.2380818,0"
"M_48,Sayyeda Zeinab,30.0292488,31.2353861,0"
"M_49,Al-Malek Al-Saleh,30.0176827,31.2312066,0"
"M_50,Tora El-Balad,29.9463299,31.2735808,0"
"M_51,New El-Marg,30.1635097,31.338272,0"
"M_52,Orabi,30.0573315,31.2425378,0"
"M_53,Alf Maskan subway station,30.1180729,31.3398266,0"
"M_54,Haroun,30.1011092,31.332762,0"
"M_55,Heliopolis,30.1079599,31.3381815,0"
"M_56,Adly Mansour,30.1469543,31.4215975,0"
"M_57,El Haykestep,30.1438828,31.4048488,0"
"M_58,Omar Ebn Elkhatab,30.1404081,31.39448,0"
"M_59,Qubaa,30.1347604,31.3840616,0"
"M_60,Hesham Barakat,30.1309653,31.3730901,0"
"M_61,El Nozha,30.1281171,31.3605199,0"
"M_62,Al-Mounib,29.9811369,31.2119674,0"
"M_63,Sakiat Mekki,29.9954853,31.208614,0"
"M_64,Cairo University,30.0259937,31.2012032,0"
"M_65,Faisal,30.0172948,31.2040345,0"
"M_66,Giza,30.0105702,31.2071246,0"
"M_67,Shobra Al-Kheima,30.1240927,31.2434932,0"
"M_68,Koliet El-Zeraa,30.1137638,31.2487433,0"
"M_69,El Geish,30.0622694,31.2679657,0"
"M_70,Masbero,30.0554909,31.2322096,0"
"M_71,Safaa Hegazy,30.062404,31.2225161,0"
"M_72,Kit-kat,30.0667936,31.2129901,0"
"M_73,Imbaba,30.0759487,31.2075611,0"
"M_74,Sudan,30.0697816,31.2053352,0"
"M_75,Cairo University,30.0249004,31.2013603,0"
"M_76,Tawfikia,30.06513792,31.20207875,0"
"M_77,Wadi El Nile,30.05724451,31.201201,0"
"M_78,Gamet El Dowal,30.05034471,31.19943074,0"
"M_79,Boulak El Dakrour,30.03776039,31.1955469,0"
"M_80,El Bohy,30.08206167,31.21054163,0"
"M_81,El Qawmia,30.09322011,31.20909324,0"
"M_82,Ring Road,30.09648756,31.19945874,0"
"M_83,Rawd El-Farag Corridor,30.10198259,31.1844491,0"
"MB_1,جامعة القاهرة (طريق كوبري روض  الفرج),30.0873232,31.2333086,"
"MB_2,جامعة القاهرة (طريق كوبري قصر النيل),30.027100,31.209700,"
"MB_3,الأوتوستراد صقر قريش المسار الثاني,30.0990686,31.2831,"
"MB_4,اول طريق مصر إسكندرية الصحراوي,30.4495247,30.3174958,"
"MB_5,الشيخ رمضان (طريق أحمد حلمي),30.0929207,31.2555188,"
"MB_6,رابعة العدوية (طريق النصر),30.0459265,31.2796537,"
"MB_7,أحمد بدوي (طريق أحمد حلمي),30.0680075,31.2483888,"
"MB_8,منشية البكري (جسر السويس),30.1285869,31.3647958,"
"MB_9,روض الفرج (كورنيش النيل),30.0797862,31.2306351,"
"MB_10,المرحلة الأولى والثانية,30.054400,31.229400,"
"MB_11,المرج (الطريق الدائري),30.1635318,31.290018,"
