"route_id,service_id,trip_id,shape_id,direction_id"
"MB_113,MB_DAILY,MB_trip_113,MB_shape_113,"
"MB_114,MB_DAILY,MB_trip_114,MB_shape_114,"
"MB_115,MB_DAILY,MB_trip_115,MB_shape_115,"
"MB_116,MB_DAILY,MB_trip_116,MB_shape_116,"
"MB_117,MB_DAILY,MB_trip_117,MB_shape_117,"
"MB_118,MB_DAILY,MB_trip_118,MB_shape_118,"
"MB_119,MB_DAILY,MB_trip_119,MB_shape_119,"
"MB_120,MB_DAILY,MB_trip_120,MB_shape_120,"
"MB_121,MB_DAILY,MB_trip_121,MB_shape_121,"
"MB_122,MB_DAILY,MB_trip_122,MB_shape_122,"
"MB_123,MB_DAILY,MB_trip_123,MB_shape_123,"
"MB_124,MB_DAILY,MB_trip_124,MB_shape_124,"
"MB_125,MB_DAILY,MB_trip_125,MB_shape_125,"
"MB_126,MB_DAILY,MB_trip_126,MB_shape_126,"
"MB_127,MB_DAILY,MB_trip_127,MB_shape_127,"
"MB_128,MB_DAILY,MB_trip_128,MB_shape_128,"
"MB_129,MB_DAILY,MB_trip_129,MB_shape_129,"
"MB_130,MB_DAILY,MB_trip_130,MB_shape_130,"
"MB_131,MB_DAILY,MB_trip_131,MB_shape_131,"
"MB_132,MB_DAILY,MB_trip_132,MB_shape_132,"
"MB_133,MB_DAILY,MB_trip_133,MB_shape_133,"
"MB_134,MB_DAILY,MB_trip_134,MB_shape_134,"
"MB_135,MB_DAILY,MB_trip_135,MB_shape_135,"
"MB_136,MB_DAILY,MB_trip_136,MB_shape_136,"
"MB_137,MB_DAILY,MB_trip_137,MB_shape_137,"
"MB_138,MB_DAILY,MB_trip_138,MB_shape_138,"
"MB_139,MB_DAILY,MB_trip_139,MB_shape_139,"
"MB_140,MB_DAILY,MB_trip_140,MB_shape_140,"
"MB_141,MB_DAILY,MB_trip_141,MB_shape_141,"
"MB_142,MB_DAILY,MB_trip_142,MB_shape_142,"
"MB_143,MB_DAILY,MB_trip_143,MB_shape_143,"
"MB_144,MB_DAILY,MB_trip_144,MB_shape_144,"
"MB_145,MB_DAILY,MB_trip_145,MB_shape_145,"
"MB_146,MB_DAILY,MB_trip_146,MB_shape_146,"
"MB_147,MB_DAILY,MB_trip_147,MB_shape_147,"
"MB_148,MB_DAILY,MB_trip_148,MB_shape_148,"
"MB_149,MB_DAILY,MB_trip_149,MB_shape_149,"
"MB_150,MB_DAILY,MB_trip_150,MB_shape_150,"
"MB_151,MB_DAILY,MB_trip_151,MB_shape_151,"
"MB_152,MB_DAILY,MB_trip_152,MB_shape_152,"
"MB_153,MB_DAILY,MB_trip_153,MB_shape_153,"
"MB_154,MB_DAILY,MB_trip_154,MB_shape_154,"
"MB_155,MB_DAILY,MB_trip_155,MB_shape_155,"
"MB_156,MB_DAILY,MB_trip_156,MB_shape_156,"
"MB_157,MB_DAILY,MB_trip_157,MB_shape_157,"
"MB_158,MB_DAILY,MB_trip_158,MB_shape_158,"
"MB_159,MB_DAILY,MB_trip_159,MB_shape_159,"
"MB_160,MB_DAILY,MB_trip_160,MB_shape_160,"
"MB_161,MB_DAILY,MB_trip_161,MB_shape_161,"
"MB_162,MB_DAILY,MB_trip_162,MB_shape_162,"
"MB_163,MB_DAILY,MB_trip_163,MB_shape_163,"
"MB_164,MB_DAILY,MB_trip_164,MB_shape_164,"
"MB_165,MB_DAILY,MB_trip_165,MB_shape_165,"
"MB_166,MB_DAILY,MB_trip_166,MB_shape_166,"
"MB_167,MB_DAILY,MB_trip_167,MB_shape_167,"
"MB_168,MB_DAILY,MB_trip_168,MB_shape_168,"
"MB_169,MB_DAILY,MB_trip_169,MB_shape_169,"
"MB_170,MB_DAILY,MB_trip_170,MB_shape_170,"
"MB_171,MB_DAILY,MB_trip_171,MB_shape_171,"
"MB_172,MB_DAILY,MB_trip_172,MB_shape_172,"
"MB_173,MB_DAILY,MB_trip_173,MB_shape_173,"
"MB_174,MB_DAILY,MB_trip_174,MB_shape_174,"
"MB_175,MB_DAILY,MB_trip_175,MB_shape_175,"
"MB_176,MB_DAILY,MB_trip_176,MB_shape_176,"
"MB_177,MB_DAILY,MB_trip_177,MB_shape_177,"
"MB_178,MB_DAILY,MB_trip_178,MB_shape_178,"
"MB_179,MB_DAILY,MB_trip_179,MB_shape_179,"
"MB_180,MB_DAILY,MB_trip_180,MB_shape_180,"
"MB_181,MB_DAILY,MB_trip_181,MB_shape_181,"
"MB_182,MB_DAILY,MB_trip_182,MB_shape_182,"
"MB_183,MB_DAILY,MB_trip_183,MB_shape_183,"
"MB_184,MB_DAILY,MB_trip_184,MB_shape_184,"
"MB_185,MB_DAILY,MB_trip_185,MB_shape_185,"
"MB_186,MB_DAILY,MB_trip_186,MB_shape_186,"
"MB_187,MB_DAILY,MB_trip_187,MB_shape_187,"
"MB_188,MB_DAILY,MB_trip_188,MB_shape_188,"
"MB_189,MB_DAILY,MB_trip_189,MB_shape_189,"
"MB_190,MB_DAILY,MB_trip_190,MB_shape_190,"
"MB_191,MB_DAILY,MB_trip_191,MB_shape_191,"
"MB_192,MB_DAILY,MB_trip_192,MB_shape_192,"
